gt_area_px,dice,fg_iou,miou
9.0,85.71428571428571,75.0,87.4970099866446
12.0,82.75862068965517,70.58823529411765,85.28913399344269
17.0,48.275862068965516,31.818181818181817,65.87918779517999
17.0,55.319148936170215,38.23529411764706,69.09671529636913
19.0,82.35294117647058,70.0,84.99401937721781
26.0,55.172413793103445,38.095238095238095,69.02170198222831
23.0,51.94805194805194,35.08771929824561,67.50697473007025
28.0,54.794520547945204,37.735849056603776,68.83502716806582
23.0,82.6086956521739,70.37037037037037,85.17721022655529
23.0,62.295081967213115,45.23809523809524,72.59611961298666
30.0,53.01204819277109,36.0655737704918,67.9939066364123
26.0,61.111111111111114,44.0,71.97208597519639
26.0,64.1025641025641,47.16981132075472,73.55698996577506
30.0,65.78947368421053,49.01960784313725,74.48388220515221
29.0,65.78947368421053,49.01960784313725,74.48388220515221
31.0,64.1025641025641,47.16981132075472,73.55698996577506
10.0,83.33333333333334,71.42857142857143,85.71029895034201
15.0,90.32258064516128,82.35294117647058,91.1734802768442
17.0,88.23529411764706,78.94736842105263,89.46969704918584
28.0,57.6271186440678,40.476190476190474,70.21317448608663
19.0,88.88888888888889,80.0,89.99601275917067
35.0,52.307692307692314,35.41666666666667,67.67743160084265
35.0,72.72727272727273,57.14285714285714,78.55647522586673
31.0,57.49999999999999,40.35087719298245,70.14154231910005
33.0,82.14285714285714,69.6969696969697,84.8385153551345
33.0,64.19753086419753,47.27272727272727,73.60745037614429
36.0,64.28571428571429,47.368421052631575,73.65429966069533
33.0,63.91752577319587,46.96969696969697,73.44994969134963
35.0,51.21951219512195,34.42622950819672,67.17323837088631
34.0,65.11627906976744,48.275862068965516,74.10801957241048
37.0,52.87356321839081,35.9375,67.92787507726356
34.0,62.13592233009708,45.07042253521127,72.496323265053
27.0,55.670103092783506,38.57142857142858,69.24284204499163
38.0,5.333333333333334,2.73972602739726,51.299109236842085
14.0,0.0,0.0,49.986049107142854
20.0,0.0,0.0,49.97309470663265
16.0,0.0,0.0,49.984056122448976
18.0,0.0,0.0,49.9820631377551
24.0,0.0,0.0,49.97608418367347
21.0,0.0,0.0,49.979073660714285
19.0,0.0,0.0,49.98106664540816
24.0,0.0,0.0,49.97608418367347
22.0,0.0,0.0,49.97807716836735
18.0,0.0,0.0,49.9820631377551
26.0,0.0,0.0,49.97409119897959
24.0,0.0,0.0,49.97608418367347
22.0,0.0,0.0,49.97807716836735
28.0,0.0,0.0,49.972098214285715
26.0,0.0,0.0,49.97409119897959
23.0,0.0,0.0,49.97708067602041
28.0,0.0,0.0,49.972098214285715
26.0,0.0,0.0,49.97409119897959
24.0,0.0,0.0,49.97608418367347
31.0,0.0,0.0,49.9691087372449
26.0,0.0,0.0,49.97409119897959
24.0,0.0,0.0,49.97608418367347
30.0,0.0,0.0,49.97010522959184
27.0,0.0,0.0,49.97309470663265
35.0,0.0,0.0,49.965122767857146
42.0,0.0,0.0,49.95814732142857
34.0,0.0,0.0,49.96611926020408
31.0,0.0,0.0,49.9691087372449
38.0,0.0,0.0,49.962133290816325
29.0,0.0,0.0,49.97110172193878
30.0,0.0,0.0,49.97010522959184
38.0,0.0,0.0,49.962133290816325
30.0,0.0,0.0,49.97010522959184
33.0,0.0,0.0,49.967115752551024
39.0,0.0,0.0,49.96113679846938
31.0,0.0,0.0,49.9691087372449
39.0,0.0,0.0,49.96113679846938
41.0,0.0,0.0,49.95914381377551
32.0,0.0,0.0,49.96811224489796
40.0,0.0,0.0,49.96014030612245
41.0,0.0,0.0,49.95914381377551
29.0,0.0,0.0,49.97110172193878
40.0,0.0,0.0,49.96014030612245
43.0,0.0,0.0,49.957150829081634
31.0,0.0,0.0,49.9691087372449
41.0,0.0,0.0,49.95914381377551
42.0,0.0,0.0,49.95814732142857
31.0,0.0,0.0,49.9691087372449
39.0,0.0,0.0,49.96113679846938
47.0,0.0,0.0,49.888392857142854
36.0,0.0,0.0,49.898357780612244
122.0,80.7017543859649,67.64705882352942,83.77960320778739
114.0,84.08163265306122,72.53521126760563,86.22866249079162
143.0,82.78145695364239,70.62146892655367,85.25878744923116
177.0,91.76470588235294,84.78260869565217,92.36331554334788
172.0,87.3900293255132,77.60416666666666,88.7591065408013
179.0,63.43283582089553,46.44808743169399,73.12622175182152
174.0,74.36823104693141,59.195402298850574,79.52680465830232
177.0,13.684210526315791,7.344632768361582,53.50884928691787
150.0,0.0,0.0,49.85052614795919
147.0,56.58536585365853,39.455782312925166,69.63910070193526
169.0,55.08474576271186,38.01169590643275,68.90008275196315
98.0,94.41624365482234,89.42307692307693,94.7005566912771
