gt_area_px,dice,fg_iou,miou
9.0,78.26086956521739,64.28571428571429,82.13787378726482
12.0,71.42857142857143,55.55555555555556,77.76980424989037
17.0,82.05128205128204,69.56521739130434,84.77563102420082
17.0,80.0,66.66666666666666,83.32535885167465
19.0,87.8048780487805,78.26086956521739,89.12545053283797
26.0,80.76923076923077,67.74193548387096,83.86099864613247
23.0,66.66666666666666,50.0,74.98006220591753
28.0,61.76470588235294,44.680851063829785,72.31450588282706
23.0,57.14285714285714,40.0,69.97308505123809
23.0,55.88235294117647,38.775510204081634,69.35784900717869
30.0,53.48837209302325,36.507936507936506,68.21409028056686
26.0,54.11764705882353,37.096774193548384,68.50950607270784
26.0,53.65853658536586,36.666666666666664,68.29545001395701
30.0,56.25,39.130434782608695,69.52334217943572
29.0,54.54545454545454,37.5,68.70513370156932
31.0,55.769230769230774,38.666666666666664,69.28746817689327
10.0,55.55555555555556,38.46153846153847,69.21482217499441
15.0,73.17073170731707,57.692307692307686,78.83518915246752
17.0,56.14035087719298,39.02439024390244,69.4872748667678
28.0,58.97435897435898,41.81818181818181,70.87718853036979
19.0,56.71641791044776,39.58333333333333,69.76275744163327
35.0,56.86274509803921,39.726027397260275,69.81914267942659
35.0,68.13186813186813,51.66666666666667,75.80441719014857
31.0,50.0,33.33333333333333,66.6108319374651
33.0,67.36842105263158,50.79365079365079,75.36591442043739
33.0,50.0,33.33333333333333,66.60684135657215
36.0,44.73684210526316,28.8135593220339,64.32301754542523
33.0,42.465753424657535,26.956521739130434,63.394503765167975
35.0,42.58064516129032,27.049180327868854,63.43584397802613
34.0,42.95302013422819,27.350427350427353,63.590457772214315
37.0,40.67796610169492,25.53191489361702,62.66125062590704
34.0,38.55421686746988,23.88059701492537,61.838591423863456
27.0,25.233644859813083,14.43850267379679,57.05972672025599
38.0,38.54166666666667,23.870967741935484,61.81781100154474
14.0,0.0,0.0,49.986049107142854
20.0,0.0,0.0,49.98007015306122
16.0,0.0,0.0,49.984056122448976
18.0,0.0,0.0,49.9820631377551
24.0,0.0,0.0,49.97608418367347
21.0,0.0,0.0,49.979073660714285
19.0,84.84848484848484,73.68421052631578,86.8371214108394
24.0,80.95238095238095,68.0,83.99202535935724
22.0,85.0,73.91304347826086,86.95054075864836
18.0,91.42857142857143,84.21052631578947,92.10227272727273
26.0,87.5,77.77777777777779,88.88290743140708
24.0,91.30434782608695,84.0,91.9960123616788
22.0,80.95238095238095,68.0,83.99202535935724
28.0,83.01886792452831,70.96774193548387,85.4748986026265
26.0,83.33333333333334,71.42857142857143,85.70631059665273
23.0,86.36363636363636,76.0,87.99401878102758
28.0,82.35294117647058,70.0,84.9910278137773
26.0,85.1063829787234,74.07407407407408,87.03005880910817
24.0,91.66666666666666,84.61538461538461,92.30370458986322
31.0,87.71929824561403,78.125,89.05552107634942
26.0,86.27450980392157,75.86206896551724,87.92405597655772
24.0,89.79591836734694,81.48148148148148,90.73575609345438
30.0,87.27272727272727,77.41935483870968,88.7026986348597
27.0,88.46153846153845,79.3103448275862,89.6491907177829
35.0,70.37037037037037,54.285714285714285,77.12690722559734
42.0,76.47058823529412,61.904761904761905,80.93642880881167
34.0,82.75862068965517,70.58823529411765,85.28414795492291
31.0,76.36363636363637,61.76470588235294,80.86939311663257
38.0,85.29411764705883,74.35897435897436,87.16951649330456
29.0,85.18518518518519,74.19354838709677,87.08879859886811
30.0,80.0,66.66666666666666,83.32236710930334
38.0,82.35294117647058,70.0,84.9880354151711
30.0,83.63636363636363,71.875,85.92852745598469
33.0,81.9672131147541,69.44444444444444,84.71125534219989
39.0,79.41176470588235,65.85365853658537,82.91287086433647
31.0,83.63636363636363,71.875,85.92852745598469
39.0,85.29411764705883,74.35897435897436,87.16951649330456
41.0,84.93150684931507,73.80952380952381,86.89379371251943
32.0,78.68852459016394,64.86486486486487,82.41947183265576
40.0,82.85714285714286,70.73170731707317,85.35388883511743
41.0,84.93150684931507,73.80952380952381,86.89379371251943
29.0,80.7017543859649,67.64705882352942,83.81256296907932
40.0,81.57894736842105,68.88888888888889,84.4304849270449
43.0,80.55555555555556,67.44186046511628,83.70697127190246
31.0,86.20689655172413,75.75757575757575,87.87081196604436
41.0,80.0,66.66666666666666,83.31937465103294
42.0,76.47058823529412,61.904761904761905,80.93642880881167
31.0,89.65517241379311,81.25,90.61901794616152
39.0,83.5820895522388,71.7948717948718,85.88646836134272
47.0,79.48717948717949,65.95744680851064,82.96276967008441
36.0,56.470588235294116,39.34426229508197,69.63524328663813
122.0,0.0,0.0,49.87842793367347
114.0,81.44329896907216,68.69565217391305,84.31189579172926
143.0,80.49792531120332,67.36111111111111,83.63362969840985
177.0,70.8029197080292,54.80225988700565,77.32125614410587
172.0,71.32352941176471,55.42857142857143,77.63640875987367
179.0,63.358778625954194,46.36871508379888,73.08853577039444
174.0,71.58671586715867,55.74712643678161,77.79668468647124
177.0,64.8854961832061,48.0225988700565,73.91946657084108
150.0,68.42105263157895,52.0,75.92814084394587
147.0,50.0,33.33333333333333,66.56891495601172
169.0,23.958333333333336,13.609467455621301,56.659179124895566
98.0,91.78743961352657,84.82142857142857,92.39374178117164
129.0,88.05970149253731,78.66666666666666,89.30137041032403
