gt_area_px,dice,fg_iou,miou
9.0,39.02439024390244,24.242424242424242,62.09629583991727
12.0,45.0,29.03225806451613,64.49420226765184
17.0,72.72727272727273,57.14285714285714,78.55946684894053
17.0,60.46511627906976,43.333333333333336,71.64972190658455
19.0,73.91304347826086,58.620689655172406,79.29838286662208
26.0,69.0909090909091,52.77777777777778,76.37194210180034
23.0,66.66666666666666,50.0,74.98305388863415
28.0,59.70149253731343,42.5531914893617,71.24967972266953
23.0,62.96296296296296,45.94594594594595,72.95303637136608
23.0,59.64912280701754,42.5,71.22707290815208
30.0,67.64705882352942,51.11111111111111,75.53362267018478
26.0,47.72727272727273,31.343283582089555,65.62578395035092
26.0,26.47058823529412,15.254237288135593,57.57728508814458
30.0,41.509433962264154,26.190476190476193,63.03342846888725
29.0,49.523809523809526,32.91139240506329,66.40285472695837
31.0,43.859649122807014,28.08988764044944,63.98113651827661
10.0,36.36363636363637,22.22222222222222,61.07622692660368
15.0,30.58823529411765,18.055555555555554,58.96896949278685
17.0,44.73684210526316,28.8135593220339,64.36491279764248
28.0,42.27642276422765,26.804123711340207,63.33127421858137
19.0,41.75824175824176,26.38888888888889,63.14161034352135
35.0,50.76923076923077,34.02061855670103,66.94649179634904
35.0,45.714285714285715,29.629629629629626,64.73903306625068
31.0,45.52845528455284,29.47368421052631,64.67003983996842
33.0,45.925925925925924,29.807692307692307,64.8310572416914
33.0,41.891891891891895,26.495726495726498,63.16211192669464
36.0,45.51724137931035,29.464285714285715,64.65336815279728
33.0,41.29032258064516,26.01626016260163,62.91739140867797
35.0,44.927536231884055,28.971962616822427,64.41020107109942
34.0,32.6530612244898,19.51219512195122,59.6903080872914
37.0,49.333333333333336,32.743362831858406,66.29589211019913
34.0,39.436619718309856,24.561403508771928,62.194955563112146
27.0,40.310077519379846,25.24271844660194,62.54458953237375
38.0,36.024844720496894,21.96969696969697,60.882150417167466
14.0,0.0,0.0,49.986049107142854
20.0,0.0,0.0,49.98007015306122
16.0,0.0,0.0,49.984056122448976
18.0,85.71428571428571,75.0,87.49501604832439
24.0,76.59574468085107,62.06896551724138,81.0235174091251
21.0,76.92307692307693,62.5,81.24102888698391
19.0,88.88888888888889,80.0,89.99601275917067
24.0,84.61538461538461,73.33333333333333,86.65869123100849
22.0,85.71428571428571,75.0,87.4930216329379
18.0,80.0,66.66666666666666,83.32535885167465
26.0,85.71428571428571,75.0,87.49202424629128
24.0,80.76923076923077,67.74193548387096,83.86099864613247
22.0,85.71428571428571,75.0,87.4930216329379
28.0,89.28571428571429,80.64516129032258,90.31659871060364
26.0,86.79245283018868,76.66666666666667,88.32635468798809
23.0,79.16666666666666,65.51724137931035,82.7486519913678
28.0,86.20689655172413,75.75757575757575,87.87081196604436
26.0,85.18518518518519,74.19354838709677,87.08879859886811
24.0,77.77777777777779,63.63636363636363,81.8062189032182
31.0,86.66666666666667,76.47058823529412,88.22731804586242
26.0,79.24528301886792,65.625,82.80153399461669
24.0,80.0,66.66666666666666,83.32236710930334
30.0,88.88888888888889,80.0,89.99302065884982
27.0,80.0,66.66666666666666,83.32236710930334
35.0,80.55555555555556,67.44186046511628,83.70697127190246
42.0,83.9506172839506,72.3404255319149,86.15724958140159
34.0,81.81818181818183,69.23076923076923,84.60342026913644
31.0,75.75757575757575,60.97560975609756,80.47185305256176
38.0,89.85507246376811,81.57894736842105,90.78249392551075
29.0,89.28571428571429,80.64516129032258,90.31659871060364
30.0,70.96774193548387,55.00000000000001,77.4820552697691
38.0,89.85507246376811,81.57894736842105,90.78249392551075
