gt_area_px,dice,fg_iou,miou
9.0,78.26086956521739,64.28571428571429,82.13787378726482
12.0,74.07407407407408,58.82352941176471,79.40478786898086
17.0,81.25,68.42105263157895,84.20454581223107
17.0,59.25925925925925,42.10526315789473,71.03070175438597
19.0,86.48648648648648,76.19047619047619,88.09025404420142
26.0,54.54545454545454,37.5,68.72009450137566
23.0,53.333333333333336,36.36363636363637,68.14692704217387
28.0,53.73134328358209,36.734693877551024,68.33644459019702
23.0,81.81818181818183,69.23076923076923,84.60740981575145
23.0,54.285714285714285,37.254901960784316,68.59555114587255
30.0,55.00000000000001,37.93103448275862,68.92962778091754
26.0,51.85185185185185,35.0,67.46112052636826
26.0,69.84126984126983,53.65853658536586,76.81032663299476
30.0,58.82352941176471,41.66666666666667,70.79843871508047
29.0,86.20689655172413,75.75757575757575,87.87081196604436
31.0,50.943396226415096,34.177215189873415,67.03676209452793
10.0,75.0,60.0,79.99401997328921
15.0,85.71428571428571,75.0,87.49501604832439
17.0,82.05128205128204,69.56521739130434,84.77563102420082
28.0,53.76344086021505,36.76470588235294,68.33948241018008
19.0,87.8048780487805,78.26086956521739,89.12545053283797
35.0,54.054054054054056,37.03703703703704,68.46766700493816
35.0,84.50704225352112,73.17073170731707,86.5743978801412
31.0,44.927536231884055,28.971962616822427,64.41020107109942
33.0,84.50704225352112,73.17073170731707,86.5743978801412
33.0,42.66666666666667,27.11864406779661,63.47356900262836
36.0,59.130434782608695,41.9753086419753,70.940787422978
33.0,35.869565217391305,21.85430463576159,60.809488835440575
35.0,49.62406015037594,33.0,66.43319107352971
34.0,35.95505617977528,21.91780821917808,60.84523148674283
37.0,44.57831325301205,28.68217054263566,64.24934032227615
34.0,34.22459893048128,20.64516129032258,60.199933867879864
27.0,38.57142857142858,23.893805309734514,61.86115817342196
38.0,34.22459893048128,20.64516129032258,60.199933867879864
14.0,0.0,0.0,49.986049107142854
20.0,0.0,0.0,49.98007015306122
16.0,0.0,0.0,49.984056122448976
18.0,86.48648648648648,76.19047619047619,88.09025404420142
24.0,92.3076923076923,85.71428571428571,92.8531549802885
21.0,85.1063829787234,74.07407407407408,87.03005880910817
19.0,89.47368421052632,80.95238095238095,90.4722031558691
24.0,88.46153846153845,79.3103448275862,89.6491907177829
22.0,80.0,66.66666666666666,83.32436168374603
18.0,87.17948717948718,77.27272727272727,88.63137948596192
26.0,86.79245283018868,76.66666666666667,88.32635468798809
24.0,92.0,85.18518518518519,92.58860479525246
22.0,82.6086956521739,70.37037037037037,85.17721022655529
28.0,88.13559322033898,78.78787878787878,89.38696033112782
26.0,90.56603773584906,82.75862068965517,91.37432549875963
23.0,93.61702127659575,88.0,93.9970092116282
28.0,91.22807017543859,83.87096774193549,91.93049882610234
26.0,88.88888888888889,80.0,89.99401818471846
24.0,86.79245283018868,76.66666666666667,88.32635468798809
31.0,93.54838709677419,87.87878787878788,93.93540566492089
26.0,92.5925925925926,86.20689655172413,93.0994603194903
24.0,90.56603773584906,82.75862068965517,91.37432549875963
30.0,92.06349206349206,85.29411764705883,92.64207348043809
27.0,93.10344827586206,87.09677419354838,93.54439898135813
35.0,0.0,0.0,49.965122767857146
42.0,82.92682926829268,70.83333333333334,85.40270631406806
34.0,80.59701492537313,67.5,83.7370386248978
31.0,73.68421052631578,58.333333333333336,79.15171302296216
38.0,89.47368421052632,80.95238095238095,90.4682131318484
29.0,90.32258064516128,82.35294117647058,91.17048829582085
30.0,75.0,60.0,79.98604326587578
38.0,86.8421052631579,76.74418604651163,88.36212154169309
30.0,95.23809523809523,90.9090909090909,95.45155418904072
33.0,0.0,0.0,49.967115752551024
39.0,82.5,70.2127659574468,85.09242290453558
31.0,82.53968253968253,70.27027027027027,85.12416803643124
39.0,52.83018867924528,35.8974358974359,67.9237986871255
41.0,85.71428571428571,75.0,87.48803350618269
32.0,86.56716417910447,76.31578947368422,88.14892111927774
40.0,0.0,0.0,49.96014030612245
41.0,85.0574712643678,74.0,86.98703603980933
29.0,84.375,72.97297297297297,86.47651619794634
40.0,0.0,0.0,49.94618941326531
43.0,87.2340425531915,77.35849056603774,88.66727759577444
31.0,89.55223880597015,81.08108108108108,90.5335609210295
41.0,77.14285714285715,62.7906976744186,81.37939637554506
42.0,87.64044943820225,78.0,88.98903005764205
31.0,86.56716417910447,76.31578947368422,88.14892111927774
39.0,0.0,0.0,49.96113679846938
47.0,85.71428571428571,75.0,87.4870355226679
36.0,82.5,70.2127659574468,85.09242290453558
122.0,0.0,0.0,49.87842793367347
114.0,80.15873015873017,66.88741721854305,83.39378349694002
143.0,87.14285714285714,77.21518987341773,88.57163377476375
177.0,78.52348993288591,64.64088397790056,82.25651741994172
172.0,76.92307692307693,62.5,81.1840870051532
