model,n,dsc_mean,dsc_std,fg_iou_mean,fg_iou_std,miou_mean
FCN-50,6851,68.05943148064124,26.223732685762176,56.36944372413782,24.4397991122724,78.11010440893828
FCN-101,6851,67.58248470671587,25.964354059661375,55.71975995649205,24.24705614746581,77.78240119369525
DeepLabV3-50,6851,68.7221960467954,23.462978668915287,56.28636356571761,22.38459757569145,78.06222266807359
DeepLabV3-101,6851,68.029059437809,25.529415858722732,56.12406452759811,24.027655918713073,77.99087081682191
Unet,6851,72.55104571165131,31.362893336867796,64.3343401284874,30.53842093526127,82.10941594444508
Unet-VGG16,6851,73.60560451091634,28.45418804702011,64.38281588854436,27.742682456288357,82.12974944346848
UNeXt,6851,70.66900631891856,26.88406132793169,59.98159846309024,26.11939799051557,79.9207392968222
